date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:10	163014/163014	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:03%20GMT	https://marketpresso.com/special/images/bonus5.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/bonus5.png	(from https://marketpresso.com/special/)
15:14:11	57973/57973	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:28:59%20GMT	https://marketpresso.com/special/images/bonus.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/bonus.png	(from https://marketpresso.com/special/)
15:14:11	149560/149560	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:33%20GMT	https://marketpresso.com/special/images/girl5.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/girl5.png	(from https://marketpresso.com/special/)
15:14:11	10242/10242	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:59%20GMT	https://marketpresso.com/special/images/logo2.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/logo2.png	(from https://marketpresso.com/special/)
15:14:12	90119/90119	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:36%20GMT	https://marketpresso.com/special/images/graphic3.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/graphic3.png	(from https://marketpresso.com/special/)
15:14:12	10126/10126	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:59%20GMT	https://marketpresso.com/special/images/logo1.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/logo1.png	(from https://marketpresso.com/special/)
15:14:12	95228/95228	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:33%20GMT	https://marketpresso.com/special/images/girl6.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/girl6.png	(from https://marketpresso.com/special/)
15:14:13	254765/254765	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:30:05%20GMT	https://marketpresso.com/special/images/male2.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/male2.png	(from https://marketpresso.com/special/)
15:14:14	12310/12310	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260085bdc-3016%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	D:/htcopy/Marketprssso/ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	(from https://marketpresso.com/special/)
15:14:14	93376/93376	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2027%20Jan%202021%2009:42:18%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/htcopy/Marketprssso/connect.facebook.net/en_US/fbevents.js	(from https://marketpresso.com/special/)
15:14:15	2436/2436	---MCZ	200	added ('OK')	text/plain	date:Wed,%2027%20Jan%202021%2009:42:20%20GMT	http://widget.manychat.com/20384.js	D:/htcopy/Marketprssso/widget.manychat.com/20384.js	(from https://marketpresso.com/special/)
15:14:17	217175/217175	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265f378766f5e315faa38e6c3410fd709%22	http://cdn.letsetcom.io/js/main/6ae423bb9c7aec98811a43f46fbcfd0b.js	D:/htcopy/Marketprssso/cdn.letsetcom.io/js/main/6ae423bb9c7aec98811a43f46fbcfd0b.js	(from https://marketpresso.com/special/)
15:14:18	320084/320084	---MCZ	200	added ('OK')	application/javascript	etag:W/%220d3a8d2378911b07f943c9e2770accec%22	http://cdn.letconvert.com/js/main/04b3d257c6b89d8294119f19ff60b6cc.js	D:/htcopy/Marketprssso/cdn.letconvert.com/js/main/04b3d257c6b89d8294119f19ff60b6cc.js	(from https://marketpresso.com/special/)
15:14:18	5349/5349	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c887c3fbb2d17e630bce195beb41ca38%22	https://d10lpsik1i8c69.cloudfront.net/w.js	D:/htcopy/Marketprssso/d10lpsik1i8c69.cloudfront.net/w.js	(from https://marketpresso.com/special/)
15:14:19	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%22da084d2d769cfb389ae030864bb0fcd7%22	https://connect.facebook.net/en_GB/sdk.js	D:/htcopy/Marketprssso/connect.facebook.net/en_GB/sdk.js	(from https://marketpresso.com/special/)
15:14:20	725216/725216	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:28:35%20GMT	https://marketpresso.com/special/images/bg1.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/bg1.png	(from https://marketpresso.com/special/css/style.css)
15:14:20	139357/139357	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:28:42%20GMT	https://marketpresso.com/special/images/bg2.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/bg2.png	(from https://marketpresso.com/special/css/style.css)
15:14:21	342530/342530	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:28:46%20GMT	https://marketpresso.com/special/images/bg3.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/bg3.png	(from https://marketpresso.com/special/css/style.css)
15:14:21	18779/18779	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:28:46%20GMT	https://marketpresso.com/special/images/bg4.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/bg4.png	(from https://marketpresso.com/special/css/style.css)
15:14:22	5515/5515	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:28:47%20GMT	https://marketpresso.com/special/images/bg6.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/bg6.png	(from https://marketpresso.com/special/css/style.css)
15:14:22	528203/528203	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:28:57%20GMT	https://marketpresso.com/special/images/bg5.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/bg5.png	(from https://marketpresso.com/special/css/style.css)
15:14:22	42962/42962	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:28:58%20GMT	https://marketpresso.com/special/images/bg8.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/bg8.png	(from https://marketpresso.com/special/css/style.css)
15:14:23	351761/351761	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:28:57%20GMT	https://marketpresso.com/special/images/bg7a.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/bg7a.png	(from https://marketpresso.com/special/css/style.css)
15:14:23	48771/48771	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:28:59%20GMT	https://marketpresso.com/special/images/bg9.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/bg9.png	(from https://marketpresso.com/special/css/style.css)
15:14:23	10129/10129	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:28:35%20GMT	https://marketpresso.com/special/images/bg10.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/bg10.png	(from https://marketpresso.com/special/css/style.css)
15:14:23	582988/582988	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:28:37%20GMT	https://marketpresso.com/special/images/bg11.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/bg11.png	(from https://marketpresso.com/special/css/style.css)
15:14:24	2045/2045	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:28:36%20GMT	https://marketpresso.com/special/images/bg12.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/bg12.png	(from https://marketpresso.com/special/css/style.css)
